payroll_id,emp_id,pay_month,bonus,deductions,net_salary
1,1,2025-01-01,1001,502,30716
2,1,2025-02-01,1002,503,30716
3,1,2025-03-01,1003,504,30716
4,1,2025-04-01,1004,505,30716
5,1,2025-05-01,1005,506,30716
6,1,2025-06-01,1006,507,30716
7,1,2025-07-01,1007,508,30716
8,1,2025-08-01,1008,509,30716
9,1,2025-09-01,1009,510,30716
10,1,2025-10-01,1010,511,30716
11,1,2025-11-01,1011,512,30716
12,1,2025-12-01,1012,513,30716
13,2,2025-01-01,1002,503,30933
14,2,2025-02-01,1004,504,30934
15,2,2025-03-01,1006,505,30935
16,2,2025-04-01,1008,506,30936
17,2,2025-05-01,1010,507,30937
18,2,2025-06-01,1012,508,30938
19,2,2025-07-01,1014,509,30939
20,2,2025-08-01,1016,510,30940
21,2,2025-09-01,1018,511,30941
22,2,2025-10-01,1020,512,30942
23,2,2025-11-01,1022,513,30943
24,2,2025-12-01,1024,514,30944
25,3,2025-01-01,1003,504,31150
26,3,2025-02-01,1006,505,31152
27,3,2025-03-01,1009,506,31154
28,3,2025-04-01,1012,507,31156
29,3,2025-05-01,1015,508,31158
30,3,2025-06-01,1018,509,31160
31,3,2025-07-01,1021,510,31162
32,3,2025-08-01,1024,511,31164
33,3,2025-09-01,1027,512,31166
34,3,2025-10-01,1030,513,31168
35,3,2025-11-01,1033,514,31170
36,3,2025-12-01,1036,515,31172
37,4,2025-01-01,1004,505,31367
38,4,2025-02-01,1008,506,31370
39,4,2025-03-01,1012,507,31373
40,4,2025-04-01,1016,508,31376
41,4,2025-05-01,1020,509,31379
42,4,2025-06-01,1024,510,31382
43,4,2025-07-01,1028,511,31385
44,4,2025-08-01,1032,512,31388
45,4,2025-09-01,1036,513,31391
46,4,2025-10-01,1040,514,31394
47,4,2025-11-01,1044,515,31397
48,4,2025-12-01,1048,516,31400
49,5,2025-01-01,1005,506,31584
50,5,2025-02-01,1010,507,31588
51,5,2025-03-01,1015,508,31592
52,5,2025-04-01,1020,509,31596
53,5,2025-05-01,1025,510,31600
54,5,2025-06-01,1030,511,31604
